Rule ID,Rule/Clause No.,Legal Requirement,Simplified Requirement,Applicable Product/Condition,Declaration/Parameter to Check,Detection Method,Validation Condition,Non-Compliance Condition,Severity,Evidence Required,Source/Page No.,Notes/Exceptions
R01,Rule 4,No person shall prepack or cause or permit to be pre-packed any commodity for sale... unless the package... bears thereon... such declarations as are required.,All packages must have mandatory declarations printed or affixed before distribution.,All pre-packaged commodities intended for retail sale.,Presence of mandatory declarations on package/label.,Manual Review,All required fields (Rule 6) are physically present on the package.,Packages leave the manufacturer/packer without required declarations.,High,Photograph of package/label.,"legal metro Packaged Commodity 2011.pdf, Page 41-42","Does not apply to wholesale, industrial/institutional consumers, or packages >25kg/25L (Rule 3)."
R03,Rule 6(1)(a),"Every package shall bear... the name and address of the manufacturer, or... packer and... importer.","Label must show the complete name and address of the manufacturer, packer, or importer.",All retail packages.,"'Manufactured by', 'Packed by', or 'Imported by' with a complete address.",Automated (OCR),Name and complete address (enabling location identification) are present.,"Missing or incomplete manufacturer, packer, or importer details.",High,Photograph of label address block.,"legal metro Packaged Commodity 2011.pdf, Page 42-43","For food articles, Prevention of Food Adulteration Act 1954 applies instead."
R04,Rule 6(1)(b),"The common or generic names of the commodity... and in case of packages with more than one product, the name and number or quantity of each.","Must state the generic name of the product, and itemize quantities for multi-product packages.",All retail packages.,Generic product name; itemized list for multi-product packages.,Automated (OCR),Generic name is clearly stated.,No generic product name indicated.,High,Photograph of Principal Display Panel.,"legal metro Packaged Commodity 2011.pdf, Page 43",None.
R05,Rule 6(1)(c),"The net quantity, in terms of the standard unit of weight or measure... or the number of the commodity.","Must state how much product is inside by standard weight, volume, area, length, or count.",All retail packages.,Net quantity value and standard International System of Units (SI) symbol.,Automated (OCR),Numeric value followed by correct standard unit.,Missing net quantity or using non-standard/imperial units.,High,Photograph of net quantity declaration.,"legal metro Packaged Commodity 2011.pdf, Page 43, 53",Excludes the weight of wrappers and packaging materials (Rule 11(1)).
R06,Rule 6(1)(d),The month and year in which the commodity is manufactured or pre-packed or imported shall be mentioned.,"Must state the specific month and year of manufacturing, packing, or import.",All retail packages.,"Month and Year declaration (in words, numerals, or both).",Automated (OCR),Month and Year are present and legible.,Missing month and year of manufacture/packing/import.,High,Photograph of label.,"legal metro Packaged Commodity 2011.pdf, Page 43-44, 46","Exempt for bidis, incense sticks, and specific APM LPG cylinders. Food and cosmetics follow their respective specific Acts."
R07,Rule 6(1)(e) & 2(m),"The retail sale price of the package... printed... 'Maximum or Max. retail price Rs.../₹... inclusive of all taxes' or 'MRP Rs.../₹... incl., of all taxes'.","Must state the MRP using the exact required phrases, including 'inclusive of all taxes'.",All retail packages.,"'MRP Rs... incl., of all taxes' or permitted variant.",Automated (OCR),Text matches the explicitly permitted MRP format.,MRP is missing or fails to state 'inclusive of all taxes'.,High,Photograph of MRP print.,"legal metro Packaged Commodity 2011.pdf, Page 40, 44",Exempt for bidis and APM LPG cylinders.
R08,Rule 6(2),"Every package shall bear the name, address, telephone number, E-mail address, if available, of the person... to be contacted, in case of consumer complaints.","Must provide consumer care contact details (Name, Address, Phone, Email if available).",All retail packages.,Consumer care address and telephone number.,Automated (OCR),Telephone number and contact address are present.,Missing phone number or address for consumer complaints.,High,Photograph of label.,"legal metro Packaged Commodity 2011.pdf, Page 46",None.
R09,Rule 6(3),It shall not be permissible to affix individual stickers on the package for altering or making declaration required under these rules.,"Cannot use stickers to override or provide mandatory declarations, except for price reductions.",All retail packages.,Absence of stickers over mandatory information.,Manual Review,"Mandatory info is directly printed/labeled, not stickered over (unless reducing MRP).","Sticker covers original MRP to increase price, or alters other mandatory declarations.",High,Photograph showing physical sticker over original text.,"legal metro Packaged Commodity 2011.pdf, Page 46",Exception: A sticker with a revised lower MRP is allowed but must not cover the original MRP.
R10,Rule 7(2) & 7(3),The height of any numeral in the declaration... shall not be less than... shown in Table-I/II. Height of letters... not less than 1 mm...,Text and numbers must meet minimum size requirements based on the package's weight/volume or area.,All retail packages.,Font height and width in mm.,Manual Review,"Character heights match Table I/II thresholds (e.g., >= 1mm).",Text is smaller than the mandated minimum height (1mm) or width (1/3 of height).,Medium,Physical measurement with calibrated scale.,"legal metro Packaged Commodity 2011.pdf, Page 47-48","Exception for numeral '1' and letters (i), (l), and (I) regarding the width rule."
R11,Rule 8(1),The area surrounding the quantity declaration shall be free from printed information: above and below by a space equal to at least the height of the numeral...,Quantity declaration must have a required clear blank space around it.,All retail packages.,Blank space dimensions around net quantity.,Manual Review,Vertical clearance = 1x numeral height; Horizontal clearance = 2x numeral height.,Other text/graphics infringe on the required clear space zone around the quantity.,Medium,Photograph with physical scale measurement.,"legal metro Packaged Commodity 2011.pdf, Page 48",None.
R12,Rule 9(1)(b),Numerals of the retail sale price and net quantity declaration shall be printed... in a colour that contrasts conspicuously with the background.,MRP and Net Quantity must clearly stand out from the label's background color.,All retail packages.,Color contrast of MRP and Net Quantity text against background.,Manual Review,Visual contrast is conspicuous.,MRP/Quantity text blends into background making it hard to read.,Medium,Photograph of Principal Display Panel.,"legal metro Packaged Commodity 2011.pdf, Page 49","Exemption: Information blown, formed, or moulded on a glass or plastic surface."
